,road_name,gender,classification
0,'S-Gravelandse Veer,male,human
1,A. Moen straat,male,human
2,Akkerwinde weg,male,human
3,Akoleien straat,unknown,other
4,Alexander straat,male,human
5,Alfred DöBlin straat,male,human
6,Soenda straat,male,human
7,Amundsen weg,male,human
8,Anfieldroad,male,human
9,Anielewicz singel,male,human
10,Ankerplaats,unknown,other
11,Spook steeg,male,human
12,Antwerpen baan,male,human
13,Appel weg,male,human
14,Archief straat,unknown,Object
15,Arend Bontekoe plantsoen,male,human
16,Aster laan,unknown,Plant
17,Avalon,unknown,Place
18,Avenhorn straat,unknown,other
19,Avercamp straat,unknown,other
20,Avogadro straat,unknown,other
21,Azalea straat,unknown,Plant
22,Boom steeg,unknown,Place
23,Boom straat,unknown,Place
24,Boorder straat,unknown,other
25,Boot straat,unknown,Place
26,Starrenbosch,unknown,Plant
27,Azart plein,unknown,Object
28,AziëHaven weg,male,human
29,Badhuis weg,unknown,Place
30,Bakkerswaal,unknown,other
31,Baron De Coubertin laan,male,human
32,Bartholomeus Ruloffs straat,male,human
33,'S-Gravendijk dreef,unknown,Object
34,'S-Gravenhekje,unknown,other
35,Bavink hof,unknown,other
36,Bawean straat,male,human
37,Beatrix park,female,human
38,Beeckenstein,unknown,other
39,Beek En Hoff,male,human
40,Beemdgras straat,unknown,Plant
41,Beetskoog straat,unknown,other
42,Begijnen steeg,unknown,other
43,Bellamydwars straat,unknown,other
44,Berg straat,unknown,Animal
45,Bertha Von Suttner straat,female,human
46,Beuken weg,male,human
47,Bijlmerring kade,male,human
48,Binair straat,unknown,other
49,Blindeman steeg,unknown,Plant
50,'S-Gravesande plein,male,human
51,Boor straat,unknown,other
52,Bosboom Toussaint straat,male,human
53,'S-Gravesande straat,unknown,other
54,Boterbloem straat,unknown,Plant
55,'T Hol,male,human
56,'T Kleine Loop veld,male,human
57,'T Nopeind,unknown,other
58,'T Voorwerf,unknown,other
59,10,unknown,other
60,1e Glans hof,male,human
61,1e Helmers straat,unknown,other
62,Brand Dirk Ochse park,male,human
63,Breughel straat,male,human
64,1e Keker straat,unknown,other
65,2e Glans hof,unknown,other
66,2e Helmers straat,unknown,other
67,3e Helmers straat,unknown,other
68,A,unknown,other
69,A. Evers plein,female,human
70,A. Reitsma kade,male,human
71,A.A. De Lannoy-Willems straat,male,human
72,A.A.H. Struijcken kade,male,human
73,A.J. Koejemans straat,unknown,other
74,A.J. Kropholler straat,unknown,other
75,A.M. De Jong straat,male,human
76,A.S. Onderwijzer hof,female,human
77,Aaf Bouber straat,female,human
78,Aagtdorper pad,female,human
79,Aak hof,unknown,other
80,Aak pad,unknown,other
81,Aak straat,unknown,othern
82,Aalberse straat,unknown,other
83,Aalsmeer plein,unknown,Place
84,Aalsmeer weg,unknown,Place
85,Aambeeld straat,unknown,other
86,Aandammer brug,male,human
87,Aandewind,unknown,other
88,Aardbei straat,unknown,Plant
89,Aarschot pad,unknown,other
90,Aart Klein hof,male,human
91,Aart Van Der Leeuw straat,male,human
92,Abbenes straat,unknown,other
93,Abberdaan,unknown,other
94,Borger straat,male,human
95,Eerste Boerhaave straat,male,human
96,Buiten Kadijken,unknown,other
97,Burman straat,unknown,Place
98,Borggraaf,unknown,other
99,Borgloon straat,unknown,other
100,Catharina Boudewijns hof,female,human
101,Abcouder pad,unknown,other
102,Abcouderstraat weg,male,human
103,Abe Lenstra laan,male,human
104,Abebe Bikila laan,male,human
105,Abelen laan,male,human
106,Abidjan weg,unknown,Place
107,Abraham De Haan straat,male,human
108,Abraham Kuyper plein,male,human
109,Boris Pasternak straat,male,human
110,Cesar Willem Ittman pad,male,human
111,Abraham Kuyper straat,male,human
112,Charlie Parker straat,male,human
113,Chocolade weg,unknown,Object
114,Christoffelkruid straat,unknown,Plant
115,Clarissen hof,female,human
116,Abraham Staalman plein,male,human
117,Abraham Van Der Hart straat,male,human
118,Abram Dudok Van Heel straat,male,human
119,Colnot En Poons hof,female,human
120,Columbus straat,male,human
121,Consience brug,male,human
122,Abrikozen straat,unknown,other
123,Abtswoude pad,unknown,Place
124,Accason,unknown,other
125,Coornhert straat,unknown,other
126,Copernicus straat,male,human
127,Coppelstock straat,unknown,other
128,Cor Van Der Hart brug,male,human
129,Cornelis Drebbel straat,male,human
130,Dirham pad,unknown,Object
131,Dirk Bons straat,male,human
132,Cornelis Schuurman hof,male,human
133,Cosmarium straat,unknown,other
134,Couhornerhoek,unknown,other
135,Count Basie straat,male,human
136,Courbet straat,unknown,other
137,Crabschuyt straat,unknown,other
138,Dadel straat,unknown,other
139,Daelenbroek,unknown,other
140,Dageraads brug,male,human
141,Dahlia laan,female,human
142,Accra weg,unknown,Place
143,Accumulator weg,male,human
144,Achilles straat,male,human
145,Achter Oosteinde,unknown,other
146,Achterdek,unknown,other
147,De Dubbele Klap brug,male,human
148,Achtergouwtje,unknown,other
149,Achter gracht,unknown,Object
150,Achter laan,unknown,other
151,Achtersteven,unknown,other
152,Ad Windig hof,male,human
153,Adam Smith plein,male,human
154,Adam Van Germez hof,male,human
155,Adama Van Scheltema plein,male,human
156,Adamello,unknown,Object
157,Daguerre straat,unknown,other
158,De Lier hof,male,human
159,De Ontdekkers brug,male,human
160,Adelaars weg,male,human
161,Adingerdorp hof,unknown,other
162,Dalstein dreef,unknown,other
163,Dalton straat,male,human
164,De-Grote-Geus plein,male,human
165,Borneo kade,male,human
166,Borneo laan,male,human
167,Diepen,unknown,other
168,Digitaal straat,unknown,other
169,Dijle hof,unknown,Place
170,Borneosteiger,unknown,other
171,Dirk Witte hof,male,human
172,Display straat,male,human
173,Doklaantje,unknown,Object
174,Dirk Deutekom pad,male,human
175,Dirk Hartogh straat,male,human
176,Dirk SchäFer straat,male,human
177,Borneo straat,male,human
178,Bornhout,unknown,other
179,Borrendamme hof,female,human
180,Borssenburg plein,female,human
181,Borssenburg straat,unknown,other
182,Duivendrechtse laan,female,human
183,Dwars Spinhuis steeg,unknown,Object
184,Eckehart hof,male,human
185,Dirk Sonoy straat,male,human
186,Eerste Tuindwars straat,male,human
187,Elseneur brug,male,human
188,Dirk Van Hasselts steeg,male,human
189,Eerste Boomdwars straat,male,human
190,Eerste Breeuwers straat,male,human
191,Eerste Ceram straat,male,human
192,Eerste Coehoorn straat,male,human
193,AustraliëHaven weg,male,human
194,B&W Allee,unknown,Object
195,Dirk Vreeken straat,male,human
196,Essen laan,unknown,Place
197,Ethosa,unknown,other
198,B. Merkelbach singel,male,human
199,Baanakkers pad,unknown,other
200,Baan brug,male,human
201,Baanbrug steeg,unknown,Object
202,Griselde straat,female,human
203,Baarsjes weg,male,human
204,Baars straat,male,human
205,Baas Gansendonck straat,male,human
206,First straat,male,human
207,Bach plein,male,human
208,Bach straat,male,human
209,Formosa straat,unknown,Place
210,Back-Up straat,male,human
211,Dirkshorn plantsoen,unknown,Plant
212,Frans De Vreng pad,male,human
213,Fresia straat,female,human
214,Frissenstein,unknown,other
215,Discus straat,male,human
216,Diskette weg,male,human
217,Distelachter straat,unknown,other
218,Distel kade,male,human
219,Hondsdraf pad,unknown,other
220,Dam,unknown,other
221,Damlopers pad,unknown,other
222,Distelkruis straat,unknown,other
223,Distel laan,unknown,other
224,Eerste Coentunnel,male,human
225,Gageldonk,unknown,other
226,Distel plein,male,human
227,Distelvoor straat,unknown,other
228,Geert Geertsen brug,male,human
229,Eerste Ringdijk straat,male,human
230,Eerste Rozendwars straat,male,human
231,George Gershwin plein,male,human
232,Eerste Schinkel straat,male,human
233,Gerrit Mannoury straat,male,human
234,Eerste Sweelinck straat,male,human
235,Eerste Van Der Helst straat,male,human
236,Gloriant straat,male,human
237,Grevelingen straat,unknown,other
238,Bos En Lommer plantsoen,unknown,other
239,Ekingen straat,unknown,other
240,Bos En Lommer plein,unknown,other
241,Eksteenfontein,unknown,other
242,Ekster laan,unknown,other
243,Ekster straat,unknown,other
244,Gustav Leonhardt brug,male,human
245,Guus Trestorff straat,male,human
246,Damrak,unknown,other
247,Damrak steeg,unknown,other
248,Dam straat,male,human
249,Hagenau,unknown,other
250,Burgemeester Vening Meinesz laan,male,human
251,Burgersdijk straat,unknown,Object
252,Burgersweer hof,unknown,other
253,Burmandwars straat,unknown,other
254,Hato straat,unknown,other
255,Busken Huet straat,male,human
256,Buskenblaser straat,unknown,other
257,Busstation Elands gracht,unknown,Object
258,Heintje Hoeks steeg,male,human
259,Bussum straat,unknown,other
260,Henk Hiensch straat,male,human
261,DaniëL De Lange straat,male,human
262,Butaan weg,male,human
263,Butskop weg,unknown,other
264,Buys kade,unknown,other
265,Buys pad,unknown,other
266,Buziau straat,unknown,other
267, Hof Van Groenen,male,human
268,BöHler pad,unknown,other
269,C. Kruyswijk straat,unknown,other
270,DaniëL Defoe laan,male,human
271,Emma plein,female,human
272,Hollandse Iep brug,unknown,other
273,Honingen,unknown,other
274,Bos En Lommer weg,male,human
275,Bosbraak hof,unknown,other
276,Bosch Van Drakestein pad,male,human
277,C. Van Eesteren laan,male,human
278,C.J.K. Van Aalst straat,male,human
279,C.J.Van Houten laan,male,human
280,Bosplaat,unknown,other
281,Bosrank straat,unknown,other
282,Boterdiep straat,unknown,other
283,Boterkers straat,unknown,other
284,Bottelarijpassage,unknown,other
285,Bottelarij straat,unknown,other
286,Bottelier plein,unknown,other
287,C.K. Elout straat,male,human
288,Botter straat,unknown,other
289,Botteskerk singel,male,human
290,Botticelli straat,male,human
291,Boulevard pad,unknown,other
292,Houtkopersburgwal,unknown,other
293,Bouten burg,male,human
294,Boutens straat,unknown,other
295,Bouvigne,unknown,other
296,Bouwen Ewoutsz straat,male,human
297,Baden Powell weg,male,human
298,Boven Rijkersloot,male,human
299,Bovenkarspel straat,unknown,other
300,Ijzerwerker straat,unknown,other
301,Bovenkruier,unknown,other
302,Entrepot hof,unknown,other
303,Badhuis kade,male,human
304,Badrian hof,male,human
305,Baeto straat,unknown,other
306,Baffin straat,male,human
307,Baionen,unknown,other
308,Esplanade De Meer,unknown,other
309,Jan Goeverneur hof,male,human
310,Jan Postma hof,male,human
311,Henk Gortzak straat,male,human
312,Esther De Boer-Van Rijk straat,female,human
313,Jeroenen steeg,unknown,other
314,Johan Schamp pad,male,human
315,Ethekwini,male,human
316,Johannes De Beka hof,female,human
317,Joop Eijl straat,male,human
318,Bakhuizen Van Den Brink hof,male,human
319,Bakhuys Roozeboom straat,unknown,Plant
320,Bakkers brug,male,human
321,Bakkers straat,male,human
322,Johannes Van Der Steur straat,male,human
323,Bakkum straat,unknown,other
324,Falck straat,male,human
325,Kanaal post,unknown,other
326,Karel Van De Woestijne straat,male,human
327,Joop Gerritze straat,male,human
328,Kastanje weg,male,human
329,Balatonmeer laan,unknown,other
330,Balboa plein,male,human
331,Balboa straat,male,human
332,Baldermoer,unknown,other
333,Baldwin straat,male,human
334,Joop Ijisberg straat,male,human
335,Kemirie straat,unknown,other
336,Balearen laan,unknown,other
337,Balgzand straat,unknown,other
338,Bali straat,male,human
339,Ballen brug,male,human
340,Balthasar Florisz straat,male,human
341,Bamberg hof,male,human
342,Bananen straat,unknown,other
343,Bandijk straat,unknown,Object
344,Banka straat,male,human
345,Bankwerkerij,unknown,other
346,Fannius Scholten straat,unknown,other
347,Fanny Blankers-Koen laan,male,human
348,King'S Cross,male,human
349,Klieverink,unknown,other
350,Bovenover,unknown,other
351,Boy Edgar straat,male,human
352,Boymans weg,male,human
353,Braak En Bosch,male,human
354,Brachthuijzer straat,unknown,other
355,Fanny Durack straat,female,human
356,Braeburn straat,unknown,other
357,Kokospalm hof,unknown,Plant
358,Brahms straat,male,human
359,Joop Van Weezel hof,male,human
360,Joop Woortman plein,male,human
361,Korte Leidsedwars straat,unknown,Plant
362,Bramzeil,unknown,other
363,Kromelleboog steeg,unknown,other
364,Bramzeil hof,unknown,other
365,Brand brug,male,human
366,Banne Buiksloot laan,female,human
367,Banne Centrum,unknown,other
368,Banne plein,unknown,other
369,Ban straat,male,human
370,Bantammer brug,male,human
371,Banterij,unknown,other
372,Barajas weg,male,human
373,Barbara Strozzi laan,female,human
374,Brandewijn steeg,unknown,other
375,Barbara Van Meerten straat,female,human
376,Barbusse laan,unknown,other
377,Barcelona plein,unknown,Place
378,Brandnetel pad,unknown,other
379,Brandslang straat,unknown,other
380,Lamong brug,unknown,other
381,Brandts Buys straat,male,human
382,Brandweer brug,unknown,Place
383,Barentsz plein,male,human
384,Barentsz straat,male,human
385,Brantas brug,male,human
386,Brede Kerke pad,unknown,other
387,Leiduin straat,unknown,other
388,Bark pad,unknown,other
389,Barnde steeg,unknown,other
390,Barnevelder straat,unknown,Object
391,Baron G.A. Tindal plein,male,human
392,Baron G.A. Tindal straat,male,human
393,Joos Banckers plantsoen,male,human
394,Baron Schimmelpenninck Van Der Oye weg,male,human
395,Baronie pad,unknown,other
396,Brede Vogel straat,male,human
397,Brederode straat,unknown,other
398,Brede weg,male,human
399,Bredius straat,unknown,other
400,Liesbeth Den Uyl brug,female,human
401,Linter hof,unknown,other
402,Justus Lipsius straat,male,human
403,Louis De Visser straat,male,human
404,Louise De Coligny straat,female,human
405,Breed veld,male,human
406,Baronie straat,male,human
407,Baron straat,male,human
408,Bart De Ligt straat,male,human
409,Bart Poesiat straat,male,human
410,Bart Van Der Leck plantsoen,male,human
411,Bart Van Hove straat,male,human
412,Bartholomeus Diaz straat,male,human
413,Justus Van Maurik straat,male,human
414,Juttepeer pad,unknown,Plant
415,Bartholomeus Drijfhout straat,male,human
416,Martinus Nijhoff straat,male,human
417,Bartholt Enthes straat,unknown,other
418,Breehorn straat,unknown,other
419,Breezand pad,unknown,other
420,Breitner straat,male,human
421,Brem singel,unknown,Plant
422,Ken Saro-Wiwa straat,male,human
423,Brem straat,unknown,Plant
424,Brenner,male,human
425,Brentano straat,unknown,other
426,Bretten laan,unknown,other
427,Fazanten laan,unknown,other
428,Fazanten weg,male,human
429,Broekzijdsche pad,unknown,other
430,Broenshofje,unknown,other
431,Bromo straat,male,human
432,Bronckhorst straat,unknown,other
433,K+R,unknown,other
