,road_name,gender
0,'S-Gravelandse Veer,null
1,A. Moen straat,null
2,Akkerwinde weg,null
3,Akoleien straat,null
4,Alexander straat,male
5,Alfred DöBlin straat,male
6,Soenda straat,male
7,Amundsen weg,male
8,Anfieldroad,male
9,Anielewicz singel,null
10,Ankerplaats,null
11,Spook steeg,male
12,Antwerpen baan,male
13,Appel weg,male
14,Archief straat,female
15,Arend Bontekoe plantsoen,male
16,Aster laan,female
17,Avalon,male
18,Avenhorn straat,null
19,Avercamp straat,null
20,Avogadro straat,null
21,Azalea straat,female
22,Boom steeg,male
23,Boom straat,male
24,Boorder straat,null
25,Boot straat,male
26,Starrenbosch,null
27,Azart plein,null
28,AziëHaven weg,null
29,Badhuis weg,female
30,Bakkerswaal,null
31,Baron De Coubertin laan,male
32,Bartholomeus Ruloffs straat,male
33,'S-Gravendijk dreef,null
34,'S-Gravenhekje,null
35,Bavink hof,null
36,Bawean straat,male
37,Beatrix park,female
38,Beeckenstein,null
39,Beek En Hoff,male
40,Beemdgras straat,null
41,Beetskoog straat,null
42,Begijnen steeg,null
43,Bellamydwars straat,null
44,Berg straat,male
45,Bertha Von Suttner straat,female
46,Beuken weg,male
47,Bijlmerring kade,null
48,Binair straat,null
49,Blindeman steeg,null
50,'S-Gravesande plein,null
51,Boor straat,female
52,Bosboom Toussaint straat,null
53,'S-Gravesande straat,null
54,Boterbloem straat,null
55,'T Hol,null
56,'T Kleine Loop veld,null
57,'T Nopeind,null
58,'T Voorwerf,null
59,10,null
60,1e Glans hof,null
61,1e Helmers straat,null
62,Brand Dirk Ochse park,male
63,Breughel straat,male
64,1e Keker straat,null
65,2e Glans hof,null
66,2e Helmers straat,null
67,3e Helmers straat,null
68,A,null
69,A. Evers plein,null
70,A. Reitsma kade,null
71,A.A. De Lannoy-Willems straat,null
72,A.A.H. Struijcken kade,null
73,A.J. Koejemans straat,null
74,A.J. Kropholler straat,null
75,A.M. De Jong straat,null
76,A.S. Onderwijzer hof,null
77,Aaf Bouber straat,female
78,Aagtdorper pad,null
79,Aak hof,male
80,Aak pad,male
81,Aak straat,male
82,Aalberse straat,null
83,Aalsmeer plein,null
84,Aalsmeer weg,null
85,Aambeeld straat,null
86,Aandammer brug,null
87,Aandewind,null
88,Aardbei straat,female
89,Aarschot pad,null
90,Aart Klein hof,male
91,Aart Van Der Leeuw straat,male
92,Abbenes straat,null
93,Abberdaan,null
94,Borger straat,male
95,Eerste Boerhaave straat,male
96,Buiten Kadijken,male
97,Burman straat,male
98,Borggraaf,null
99,Borgloon straat,null
100,Catharina Boudewijns hof,female
101,Abcouder pad,null
102,Abcouderstraat weg,null
103,Abe Lenstra laan,male
104,Abebe Bikila laan,male
105,Abelen laan,female
106,Abidjan weg,female
107,Abraham De Haan straat,male
108,Abraham Kuyper plein,male
109,Boris Pasternak straat,male
110,Cesar Willem Ittman pad,male
111,Abraham Kuyper straat,male
112,Charlie Parker straat,male
113,Chocolade weg,null
114,Christoffelkruid straat,null
115,Clarissen hof,null
116,Abraham Staalman plein,male
117,Abraham Van Der Hart straat,male
118,Abram Dudok Van Heel straat,male
119,Colnot En Poons hof,null
120,Columbus straat,female
121,Consience brug,null
122,Abrikozen straat,null
123,Abtswoude pad,null
124,Accason,null
125,Coornhert straat,null
126,Copernicus straat,male
127,Coppelstock straat,null
128,Cor Van Der Hart brug,male
129,Cornelis Drebbel straat,male
130,Dirham pad,male
131,Dirk Bons straat,male
132,Cornelis Schuurman hof,male
133,Cosmarium straat,null
134,Couhornerhoek,null
135,Count Basie straat,male
136,Courbet straat,null
137,Crabschuyt straat,null
138,Dadel straat,null
139,Daelenbroek,null
140,Dageraads brug,null
141,Dahlia laan,male
142,Accra weg,male
143,Accumulator weg,null
144,Achilles straat,male
145,Achter Oosteinde,null
146,Achterdek,null
147,De Dubbele Klap brug,null
148,Achtergouwtje,null
149,Achter gracht,null
150,Achter laan,null
151,Achtersteven,null
152,Ad Windig hof,null
153,Adam Smith plein,male
154,Adam Van Germez hof,male
155,Adama Van Scheltema plein,male
156,Adamello,null
