,road_name,gender
0,'S-Gravelandse Veer,male
1,A. Moen straat,male
2,Akkerwinde weg,male
3,Akoleien straat,unknown
4,Alexander straat,male
5,Alfred DöBlin straat,male
6,Soenda straat,male
7,Amundsen weg,male
8,Anfieldroad,male
9,Anielewicz singel,male
10,Ankerplaats,unknown
11,Spook steeg,male
12,Antwerpen baan,male
13,Appel weg,male
14,Archief straat,female
15,Arend Bontekoe plantsoen,male
16,Aster laan,female
17,Avalon,male
18,Avenhorn straat,unknown
19,Avercamp straat,unknown
20,Avogadro straat,unknown
21,Azalea straat,female
22,Boom steeg,male
23,Boom straat,male
24,Boorder straat,unknown
25,Boot straat,male
26,Starrenbosch,unknown
27,Azart plein,female
28,AziëHaven weg,male
29,Badhuis weg,female
30,Bakkerswaal,unknown
31,Baron De Coubertin laan,female
32,Bartholomeus Ruloffs straat,male
33,'S-Gravendijk dreef,unknown
34,'S-Gravenhekje,unknown
35,Bavink hof,female
36,Bawean straat,male
37,Beatrix park,female
38,Beeckenstein,unknown
39,Beek En Hoff,male
40,Beemdgras straat,unknown
41,Beetskoog straat,unknown
42,Begijnen steeg,unknown
43,Bellamydwars straat,unknown
44,Berg straat,male
45,Bertha Von Suttner straat,male
46,Beuken weg,male
47,Bijlmerring kade,male
48,Binair straat,unknown
49,Blindeman steeg,unknown
50,'S-Gravesande plein,female
51,Boor straat,female
52,Bosboom Toussaint straat,male
53,'S-Gravesande straat,unknown
54,Boterbloem straat,unknown
55,'T Hol,male
56,'T Kleine Loop veld,male
57,'T Nopeind,unknown
58,'T Voorwerf,unknown
59,10,unknown
60,1e Glans hof,male
61,1e Helmers straat,unknown
62,Brand Dirk Ochse park,male
63,Breughel straat,male
64,1e Keker straat,female
65,2e Glans hof,male
66,2e Helmers straat,unknown
67,3e Helmers straat,unknown
68,A,unknown
69,A. Evers plein,female
70,A. Reitsma kade,male
71,A.A. De Lannoy-Willems straat,male
72,A.A.H. Struijcken kade,male
73,A.J. Koejemans straat,unknown
74,A.J. Kropholler straat,unknown
75,A.M. De Jong straat,male
76,A.S. Onderwijzer hof,female
77,Aaf Bouber straat,female
78,Aagtdorper pad,female
79,Aak hof,male
80,Aak pad,male
81,Aak straat,male
82,Aalberse straat,unknown
83,Aalsmeer plein,female
84,Aalsmeer weg,male
85,Aambeeld straat,unknown
86,Aandammer brug,male
87,Aandewind,unknown
88,Aardbei straat,female
89,Aarschot pad,female
90,Aart Klein hof,male
91,Aart Van Der Leeuw straat,male
92,Abbenes straat,unknown
93,Abberdaan,unknown
94,Borger straat,male
95,Eerste Boerhaave straat,male
96,Buiten Kadijken,male
97,Burman straat,male
98,Borggraaf,unknown
99,Borgloon straat,unknown
100,Catharina Boudewijns hof,female
101,Abcouder pad,female
102,Abcouderstraat weg,male
103,Abe Lenstra laan,female
104,Abebe Bikila laan,female
105,Abelen laan,female
106,Abidjan weg,female
107,Abraham De Haan straat,male
108,Abraham Kuyper plein,male
